,minimum,maximum,range
rxn01489,0.0,0.0,0.0
rxn05344,0.0,32.66711977566534,32.66711977566534
rxn05511,-9999.999999999995,0.0,9999.999999999995
rxn05387,0.0,66.23078616719062,66.23078616719062
rxn00676,-9612.38822886017,123.99162209382706,9736.379850953997
rxn01281,-10000.0,10000.0,20000.0
rxn05733,0.0,0.0,0.0
rxn05350,0.0,38.591651336998794,38.591651336998794
rxn10339,0.0,0.0,0.0
rxn10226,4.173667017197886,4.637407796886544,0.4637407796886581
rxn05476,-10000.0,10000.0,20000.0
rxn07430,0.0,52.82947013678821,52.82947013678821
rxn03246,-38.662327060220086,1.1545562020542074e-13,38.6623270602202
rxn10237,2.650811050222536,2.9453456113583694,0.29453456113583343
rxn10255,-0.40512062838317886,9999.635391434449,10000.040512062833
rxn02166,0.0,0.0,0.0
rxn05679,-10000.0,10000.0,20000.0
rxn00704,-10000.0,10000.0,20000.0
rxn00837,0.0,10000.0,10000.0
rxn00183,-10000.0,10000.0,20000.0
rxn05248,0.0,0.0,0.0
rxn02287,0.0,0.0,0.0
rxn00634,-10000.0,10000.0,20000.0
rxn04750,0.0,0.0,0.0
rxn10223,15.531342926076585,17.25704769564063,1.7257047695640448
rxn03242,-38.66232706022006,5.772781010271033e-15,38.662327060220065
rxn00710,0.0,3440.451157037601,3440.451157037601
rxn05532,-10000.0,10000.0,20000.0
rxn02762,0.0,10000.0,10000.0
rxn05539,0.0,10000.0,10000.0
rxn05437,0.0,123.99162209383037,123.99162209383037
rxn01555,0.0,0.0,0.0
rxn10210,5.101161705388479,5.667957450431642,0.5667957450431631
rxn05482,-10000.0,10000.0,20000.0
rxn00256,0.0,10000.0,10000.0
rxn02503,0.0,10000.0,10000.0
rxn05748,-10000.0,10000.0,20000.0
rxn05349,0.0,38.591651336998254,38.591651336998254
rxn05064,0.0,0.0,0.0
rxn05463,0.0,8.317694010935549,8.317694010935549
rxn10240,0.0,10000.0,10000.0
rxn10280,3.1570459980600485,3.5078288867333867,0.3507828886733382
rxn03094,0.0,0.0,0.0
rxn00285,-10000.0,10000.0,20000.0
rxn00547,-10000.0,10000.0,20000.0
rxn10275,4.002367098421629,4.4470745538018,0.4447074553801711
rxn05597,0.0,0.0,0.0
rxn10046,0.0,10000.0,10000.0
rxn05374,0.0,123.99162209383043,123.99162209383043
rxn01989,0.0,10000.0,10000.0
rxn05506,0.0,10000.0,10000.0
rxn04143,-10000.0,0.0,10000.0
rxn01484,-10000.0,10000.0,20000.0
rxn00250,-10000.0,9068.101280760944,19068.101280760944
rxn10307,0.06318414139650665,0.07020460155167407,0.007020460155167427
rxn00545,-10000.0,10000.0,20000.0
rxn01642,0.0,0.0,0.0
rxn01334,-10000.0,10000.0,20000.0
rxn01847,0.0,10000.000000000018,10000.000000000018
rxn10308,0.014474516643737126,0.01598309950429648,0.0015085828605593543
rxn05249,0.0,0.0,0.0
rxn01649,0.0,10000.0,10000.0
rxn05266,0.153191839400492,0.17021315489008482,0.01702131548959282
rxn00203,0.0,10000.0,10000.0
rxn03409,0.0,0.0,0.0
rxn05192,0.0,0.0,0.0
rxn05724,0.0,0.0,0.0
rxn05184,0.0,0.0,0.0
rxn05672,-9896.116969297082,10000.0,19896.11696929708
rxn03931,0.0,9999.999999999987,9999.999999999987
rxn05200,-9999.9999999999,0.0,9999.9999999999
rxn00770,159.07306814980834,10000.0,9840.926931850192
rxn01301,-10000.0,9999.999999999998,20000.0
rxn00192,0.0,10000.0,10000.0
rxn05396,59.6077075504715,66.23078616719063,6.623078616719127
rxn10334,0.04646304295360732,0.05162560328178591,0.005162560328178592
rxn00910,-127.49663656685362,9999.8468081606,10127.343444727454
rxn03407,0.0,0.0,0.0
rxn02286,103.88303070278256,115.4255896697584,11.542558966975832
rxn05363,111.59245988444732,123.99162209383037,12.39916220938305
rxn02474,-3359.1487114649644,0.0,3359.1487114649644
rxn01682,-9944.439425891811,10000.0,19944.43942589181
rxn05324,0.0,38.591651336998666,38.591651336998666
rxn05714,0.0,0.0,0.0
rxn00611,-10000.0,10000.0,20000.0
rxn00211,0.0,0.0,0.0
rxn00182,-10000.0,10000.0,20000.0
rxn02832,0.15319183940060246,0.17021315488966976,0.017021315489067296
rxn01292,-10000.000000000002,10000.000000000004,20000.000000000007
rxn05563,-10000.000000000011,10000.0,20000.00000000001
rxn00289,0.0,10000.000000000002,10000.000000000002
rxn10250,1.3292923448330018,1.4769914942588902,0.14769914942588835
rxn02727,0.0,0.0,0.0
rxn10302,0.1260262426575007,0.1400291585083341,0.014002915850833408
rxn03393,0.0,0.0,0.0
rxn10311,0.11290433927692697,0.1254492658632522,0.012544926586325222
rxn05388,59.6077075504715,66.23078616719054,6.623078616719042
rxn01486,0.15319183940134937,0.17021315489008462,0.017021315488735256
rxn05464,0.0,8.317694010935545,8.317694010935545
