name,cas,kegg,formula,exact_mass,cls,q1,q3,ionmode,rt,mean_natto,mean_soy,vip,pval,qval,fc,logfc,direction,fc_abs
Phendimetrazine,634-03-7,C07904,C12H17NO,191.13101399999999,Oxazinanes,192.1,91.1,+,10.5636666667,0.000116541229191862,0.000336963792312976,1.1592066338196,0.0354735467948244,0.0728950178391602,0.345856830468055,-1.53175314580904,soy_up,2.8913698152113403
Glycitin,40246-10-4,C16195,C22H22O10,446.12130000000002,flavonoids,447.4,284.9,+,5.57,0.747592816587278,0.283457970154278,1.3078788854154,0.0213238954625473,0.0654150085967083,2.63740270270187,1.39911787186013,natto_up,2.63740270270187
Ethyl caproate,123-66-0,,C8H16O2,144.11502999999999,Miscellaneous,145.1,57.1,+,0.7377,0.00220750318359096,0.00552309320115395,1.3131319293939,0.0122360585959415,0.0563632953476646,0.399686027954362,-1.32306095433635,soy_up,2.501963866783416
Pimelic acid,111-16-0,C02656,C7H12O4,160.07355999999999,Fatty Acyls,161.1,69.1,+,0.551616666667,0.0026945142411814,0.00646654746363026,1.29593893516764,0.00564063094577219,0.0439109135499867,0.416685140925065,-1.26297044072149,soy_up,2.3998935929895233
L-Homoglutamic acid,542-32-5;1118-90-7,C00956,C6H11NO4,161.06880899999999,Amino acid and derivatives,162.1,98.1,+,0.728116666667,0.000570732851714718,0.00128186281854951,1.1951354961522,0.0487318505367996,0.0781135781256925,0.445237074869314,-1.16735436406041,soy_up,2.2459944520422517
Genipin,6902-77-8,C09780,C11H14O5,226.084125,Iridoids,227.1,149.1,+,4.8505,0.00170707235280625,0.00383372915777652,1.28408380209963,0.0183543579533081,0.0629232128929068,0.445277243788476,-1.16722421118292,soy_up,2.2457918385675213
Morin,480-16-0,C10105,C15H10O7,302.04265500000002,Flavonoids,303.0,153.0,+,7.711908,4.40086958621018e-05,2.44763636434494e-05,1.24418354609863,0.0262771746176297,0.0685791673886591,1.79800792728783,0.846399381605214,natto_up,1.79800792728783
"1,2-Dimethoxybenzene",91-16-7,,C8H10O2,138.06808000000001,Phenols,139.1,51.0,+,0.755483333333,0.000435311124696026,0.000712612485978964,1.1428709419941,0.0402423521092824,0.0745159829097468,0.610866541438731,-0.711070872020909,soy_up,1.6370187793307036
Oleic acid;Vaccenic acid;Petroselinic acid,112-80-1;693-72-1;593-39-5,C00712;C08367;C08363,C18H34O2,282.25587999999999,Fatty Acyls,283.3,57.1,+,13.0279,0.0487783506788649,0.0308569350244515,1.24604635639444,0.0331492294377293,0.0719863007929735,1.58079053023938,0.660646209564579,natto_up,1.58079053023938
Artemisinin,63968-64-9,C09538,C15H22O5,282.146725,Sesquiterpenoids,283.2,110.1,+,13.0237666667,0.00827450146240794,0.00530589021615967,1.26663373721073,0.0254432673623587,0.0681142907551875,1.55949352989005,0.641077567194337,natto_up,1.55949352989005
"3,4-Dihydroxybenzaldehyde;Protocatechuic aldehyde; 3,4-Dihydroxybenzaldehyde",139-85-5,C16700,C7H6O3,138.03169500000001,Phenols,139.0,65.0,+,4.2924929625,0.000597340230790091,0.000861363225500329,1.37812985028879,0.00235962993462346,0.0294751194067054,0.693482392916324,-0.528068840997125,soy_up,1.4419976775396814
Phosphoric acid,7664-38-2,C00009,H3O4P,97.976896999999994,Organic acids,99.0,81.0,+,0.64835,0.0765657524048993,0.0625073811071078,1.23091298076673,0.0193125831786216,0.0637889488126744,1.22490737971732,0.292672665248853,natto_up,1.22490737971732
p-Octopamine,104-14-3,C04227,C8H11NO2,153.078979,Phenols,154.1,91.1,+,3.83576666667,0.294277215515753,0.26643373509707,1.27631128276373,0.0142935002323743,0.0584021314214055,1.10450433541585,0.143399081591041,natto_up,1.10450433541585
