node_id,name,degree,betweenness,compartment,is_anchor,direction
cpd15678_c,"1,2-dianteisoheptadecanoyl-sn-glycerol_3",4,5.90096337,Cytosol,False,
cpd15728_c,"Diglucosyl-1,2_dipalmitoylglycerol_C47H8",4,0.73674754,Cytosol,False,
cpd11565_c,12-methyl-tridecanoyl-ACP_C25H47N2O8PRS,4,0.02222222,Cytosol,False,
cpd00873_c,Nicotinate_D-ribonucleotide_C11H13NO9P,4,0.00229358,Cytosol,True,natto_up
cpd00156_c,L-Valine_C5H11NO2,4,0.00079554,Cytosol,False,
cpd15732_c,"Diglucosyl-1,2_dianteisoheptadecanoylgly",4,0.66707584,Cytosol,False,
cpd00090_c,IDP_C10H12N4O11P2,4,0.0,Cytosol,False,
cpd11441_c,fa6coa_C37H63N7O17P3S,4,5.47758846,Cytosol,False,
cpd00330_c,Dihydrofolate_C19H19N7O6,4,0.32438549,Cytosol,False,
cpd11435_c,fa1coa_C35H59N7O17P3S,4,0.0,Cytosol,False,
cpd00209_c,Nitrate_NO3,4,0.0,Cytosol,False,
cpd15524_c,"1,2-dihexadecanoyl-sn-glycerol_3-phospha",4,0.00139494,Cytosol,False,
cpd00105_c,D-Ribose_C5H10O5,4,0.0,Cytosol,False,
cpd15735_c,"Diglucosyl-1,2_dianteisopentadecanoylgly",4,0.69230134,Cytosol,False,
cpd15679_c,"1,2-diisotetradecanoyl-sn-glycerol_3-pho",4,0.0,Cytosol,False,
cpd15677_c,"1,2-diisoheptadecanoyl-sn-glycerol_3-pho",4,0.0,Cytosol,False,
cpd00540_c,Betaine_C5H11NO2,4,0.0,Cytosol,False,
cpd00412_c,Deoxyuridine_C9H12N2O5,4,0.0,Cytosol,True,natto_up
cpd11432_c,fa11coa_C38H65N7O17P3S,4,0.0,Cytosol,False,
cpd00358_c,dUTP_C9H12N2O14P3,4,0.003663,Cytosol,False,
cpd00227_c,L-Homoserine_C4H9NO3,4,0.0,Cytosol,True,natto_up
cpd15681_c,"1,2-dianteisopentadecanoyl-sn-glycerol_3",4,0.82217645,Cytosol,False,
cpd00155_c,Glycogen_C30H52O26,4,0.0,Cytosol,False,
cpd00073_c,Urea_CH4N2O,4,0.0,Cytosol,False,
cpd00068_c,ITP_C10H12N4O14P3,4,0.0,Cytosol,False,
cpd00205_c,Potassium_K,4,0.0,Cytosol,False,
cpd00205_e,Potassium_K,4,0.0,Extracellular,False,
cpd15729_c,"Diglucosyl-1,2_dimyristoylglycerol_C43H8",4,0.69230134,Cytosol,False,
cpd00284_c,6-Phospho-D-gluconate_C6H11O10P,4,0.0,Cytosol,False,
cpd00239_c,Hydrogen_sulfide_H2S,4,0.0,Cytosol,False,
cpd00481_c,2-Methylpropanoyl-CoA_C25H39N7O17P3S,4,0.03215321,Cytosol,False,
cpd11476_c,Hexadecanoyl-[acp]_C27H51N2O8PRS,4,0.0,Cytosol,False,
cpd00858_c,L-Glutamate_5-semialdehyde_C5H9NO3,4,0.0,Cytosol,False,
cpd00107_c,L-Leucine_C6H13NO2,4,0.00079554,Cytosol,False,
cpd00196_c,Acetyl_phosphate_C2H4O5P,4,0.00187266,Cytosol,True,natto_up
cpd00438_c,Deoxyadenosine_C10H13N5O3,4,0.0,Cytosol,False,
cpd00346_c,L-Aspartate_4-semialdehyde_C4H7NO3,4,0.0,Cytosol,False,
cpd11540_c,13-methyl-tetra-decanoyl-ACP_C26H49N2O8P,4,0.02222222,Cytosol,False,
cpd00232_c,N-Acetylneuraminate_C11H18NO9,4,8.77186992,Cytosol,False,
cpd11466_c,Tetradecanoyl-[acp]_C25H47N2O8PRS,4,0.0,Cytosol,False,
