gene_id,growth_std,essential_std,growth_natto,essential_natto,growth_ratio,gene_name,n_reactions,reactions
peg_DOT_132,-8.805887668204152e-27,True,0.0,True,0.0,peg.132,1,rxn05296
peg_DOT_133,0.0,True,0.0,True,0.0,peg.133,1,rxn05296
peg_DOT_1337,0.0,True,0.0,True,0.0,peg.1337,9,rxn10281;rxn10283;rxn10280;rxn10286;rxn10287;rxn10284;rxn10282;rxn10285
peg_DOT_134,0.0,True,0.0,True,0.0,peg.134,1,rxn05296
peg_DOT_135,7.687957738310326e-12,True,0.0,True,0.0,peg.135,1,rxn05296
peg_DOT_140,0.0,True,0.0,True,0.0,peg.140,1,rxn05296
peg_DOT_141,1.63752425242342e-13,True,0.0,True,0.0,peg.141,1,rxn05296
peg_DOT_142,-9.080498681020942e-13,True,0.0,True,0.0,peg.142,1,rxn05296
peg_DOT_1420,0.0,True,7.923340744520102e-11,True,6.971721686687939e-14,peg.1420,1,rxn03030
peg_DOT_1421,0.0,True,0.0,True,0.0,peg.1421,1,rxn01972
peg_DOT_143,0.0,True,0.0,True,0.0,peg.143,1,rxn05295
peg_DOT_144,0.0,True,0.0,True,0.0,peg.144,1,rxn05296
peg_DOT_149,0.0,True,0.0,True,0.0,peg.149,1,rxn05296
peg_DOT_150,0.0,True,0.0,True,0.0,peg.150,1,rxn05296
peg_DOT_1504,1.86204351406646e-08,True,3.378293534276423e-08,True,2.972549465729068e-11,peg.1504,1,rxn02175
peg_DOT_1510,0.0,True,0.0,True,0.0,peg.1510,1,rxn05296
peg_DOT_1520,0.0,True,1.4418831341244294e-11,True,1.2687082683901044e-14,peg.1520,1,rxn02011
peg_DOT_1521,0.0,True,0.0,True,0.0,peg.1521,1,rxn03904
peg_DOT_1522,0.0,True,0.0,True,0.0,peg.1522,1,rxn02008
peg_DOT_1524,0.0,True,0.0,True,0.0,peg.1524,1,rxn03408
peg_DOT_1525,-2.6112351777294387e-30,True,0.0,True,0.0,peg.1525,1,rxn02285
peg_DOT_1545,0.0,True,0.0,True,0.0,peg.1545,1,rxn05296
peg_DOT_1570,8.447346846553846e-11,True,-5.941412447020213e-27,True,-5.227829439885751e-30,peg.1570,3,rxn00239;rxn01509;rxn09562
peg_DOT_1572,-6.1462943867723774e-09,True,1.812249672080761e-08,True,1.5945925775408248e-11,peg.1572,2,rxn02341;rxn09177
peg_DOT_1573,0.0,True,0.0,True,0.0,peg.1573,1,rxn05294
peg_DOT_1575,0.0,True,0.0,True,0.0,peg.1575,1,rxn05296
peg_DOT_1584,-2.3152691417684427e-14,True,-9.124725173156692e-14,True,-8.028815928276336e-17,peg.1584,1,rxn05296
peg_DOT_1591,0.0,True,1.1296868047129154e-12,True,9.940077360713403e-16,peg.1591,9,rxn10209;rxn10204;rxn10208;rxn10203;rxn10202;rxn10210;rxn10207;rxn10206
peg_DOT_1592,0.0,True,0.0,True,0.0,peg.1592,13,rxn05452;rxn05451;rxn05459;rxn05358;rxn05458;rxn05453;rxn05457;rxn05454
peg_DOT_1593,0.0,True,0.0,True,0.0,peg.1593,26,rxn05461;rxn05338;rxn05418;rxn05430;rxn05364;rxn05401;rxn05405;rxn05376
peg_DOT_1594,0.0,True,0.0,True,0.0,peg.1594,1,rxn06023
peg_DOT_1595,0.0,True,0.0,True,0.0,peg.1595,1,rxn05295
peg_DOT_1596,0.0,True,0.0,True,0.0,peg.1596,1,rxn05294
peg_DOT_1601,0.0,True,0.0,True,0.0,peg.1601,1,rxn05296
peg_DOT_1605,0.0,True,0.0,True,0.0,peg.1605,1,rxn05295
peg_DOT_1606,0.0,True,0.0,True,0.0,peg.1606,1,rxn05296
peg_DOT_1614,0.0,True,0.0,True,0.0,peg.1614,1,rxn05294
peg_DOT_1652,0.0,True,0.0,True,0.0,peg.1652,1,rxn05296
peg_DOT_1657,0.0,True,0.0,True,0.0,peg.1657,9,rxn08309;rxn10220;rxn08311;rxn10224;rxn10221;rxn10222;rxn08307;rxn10223
peg_DOT_1658,0.0,True,0.0,True,0.0,peg.1658,1,rxn03958
peg_DOT_1660,0.0,True,-3.0023358499521507e-12,True,-2.641745525119385e-15,peg.1660,1,rxn05296
peg_DOT_1661,0.0,True,0.0,True,0.0,peg.1661,1,rxn05294
peg_DOT_1663,0.0,True,0.0,True,0.0,peg.1663,1,rxn05295
peg_DOT_1671,0.0,True,0.0,True,0.0,peg.1671,1,rxn05296
peg_DOT_1678,0.0,True,0.0,True,0.0,peg.1678,1,rxn01643
peg_DOT_1680,0.0,True,0.0,True,0.0,peg.1680,1,rxn01644
peg_DOT_1695,0.0,True,0.0,True,0.0,peg.1695,9,rxn10263;rxn10264;rxn09109;rxn10261;rxn10259;rxn10262;rxn09113;rxn10260
peg_DOT_1741,0.0,True,-2.2368865979305831e-10,True,-1.968229224047943e-13,peg.1741,4,rxn06076;rxn06075;rxn05231;rxn05233
peg_DOT_1742,0.0,True,-2.140393333381778e-10,True,-1.8833251151921565e-13,peg.1742,4,rxn06076;rxn06075;rxn05231;rxn05233
peg_DOT_1743,0.0,True,-2.7154923301339254e-10,True,-2.389352847297759e-13,peg.1743,4,rxn06076;rxn06075;rxn05231;rxn05233
peg_DOT_1810,-5.994751753531608e-25,True,1.2343393016461297e-24,True,1.0860911268986174e-27,peg.1810,9,rxn10209;rxn10204;rxn10208;rxn10203;rxn10202;rxn10210;rxn10207;rxn10206
peg_DOT_1812,0.0,True,0.0,True,0.0,peg.1812,1,rxn05294
peg_DOT_1813,-1.4642751059054002e-12,True,0.0,True,0.0,peg.1813,1,rxn05294
peg_DOT_19,0.0,True,0.0,True,0.0,peg.19,1,rxn05294
peg_DOT_2,0.0,True,0.0,True,0.0,peg.2,1,rxn05294
peg_DOT_2187,6.098211823870676e-09,True,6.098211823871178e-09,True,5.365796700325367e-12,peg.2187,2,rxn01602;rxn00686
peg_DOT_2198,0.0,True,0.0,True,0.0,peg.2198,9,rxn10276;rxn10274;rxn10272;rxn10275;rxn10271;rxn10277;rxn10273;rxn10279
peg_DOT_2239,2.8762584223976648e-12,True,0.0,True,0.0,peg.2239,1,rxn05294
peg_DOT_2240,0.0,True,0.0,True,0.0,peg.2240,1,rxn05296
peg_DOT_2248,0.0,True,0.0,True,0.0,peg.2248,1,rxn06672
peg_DOT_2249,0.0,True,0.0,True,0.0,peg.2249,1,rxn05295
peg_DOT_2253,0.0,True,0.0,True,0.0,peg.2253,1,rxn02929
peg_DOT_2278,0.0,True,0.0,True,0.0,peg.2278,4,rxn03892;rxn03891;rxn01486;rxn05287
peg_DOT_2279,0.0,True,-2.618799374132652e-24,True,-2.304273030584049e-27,peg.2279,1,rxn05266
