reaction,baseline_flux,cfba_flux,delta_flux,abs_delta
rxn01648,0.0,0.0,0.0,0.0
rxn01649,0.0,0.0,0.0,0.0
rxn01653,0.0,0.0,0.0,0.0
rxn01664,0.0,0.0,0.0,0.0
rxn01670,0.0,0.0,0.0,0.0
rxn01673,0.0,0.0,0.0,0.0
rxn01674,0.0,0.0,0.0,0.0
rxn01675,0.0,0.0,0.0,0.0
rxn01678,0.0,0.0,0.0,0.0
rxn01679,0.0,0.0,0.0,0.0
rxn01682,0.0,0.0,0.0,0.0
rxn01684,0.0,0.0,0.0,0.0
rxn01704,0.0,0.0,0.0,0.0
rxn01705,-21.369475455497923,-19.750499371982674,1.6189760835152498,1.6189760835152498
rxn01706,0.0,0.0,0.0,0.0
rxn01737,-313.4839018075124,0.0,313.4839018075124,313.4839018075124
rxn01739,0.0,0.0,0.0,0.0
rxn01740,0.0,0.0,0.0,0.0
rxn01747,0.0,0.0,0.0,0.0
rxn01748,0.0,0.0,0.0,0.0
rxn01750,0.0,0.0,0.0,0.0
rxn01761,10000.0,10000.0,0.0,0.0
rxn01763,-10000.000000000002,-10000.000000000002,0.0,0.0
rxn01775,-9999.999999999945,-10000.0,-5.4569682106375694e-11,5.4569682106375694e-11
rxn01790,0.0,0.0,0.0,0.0
rxn01791,0.0,0.0,0.0,0.0
rxn01799,6820.001162312867,1334.2413603389668,-5485.7598019739,5485.7598019739
rxn01800,0.0,0.0,0.0,0.0
rxn01813,10000.0,10000.0,0.0,0.0
rxn01816,0.0,0.0,0.0,0.0
rxn01819,0.0,0.0,0.0,0.0
rxn01834,0.0,0.0,0.0,0.0
rxn01843,0.0,0.0,0.0,0.0
rxn01847,0.0,0.0,0.0,0.0
rxn01851,0.0,0.0,0.0,0.0
rxn01857,-10000.0,-10000.0,0.0,0.0
rxn01859,3201.393890013595,8665.758639661031,5464.364749647437,5464.364749647437
rxn01867,10000.000000000002,10000.0,-1.8189894035458565e-12,1.8189894035458565e-12
rxn01868,0.0,2.1853454586077174e-12,2.1853454586077174e-12,2.1853454586077174e-12
rxn01870,0.0,0.0,0.0,0.0
rxn01871,0.0,1049.0571434240837,1049.0571434240837,1049.0571434240837
rxn01872,-7647.994961255869,-9695.414644488568,-2047.4196832326988,2047.4196832326988
rxn01903,0.0,0.0,0.0,0.0
rxn01917,0.0,0.0,0.0,0.0
rxn01923,0.0,0.0,0.0,0.0
rxn01925,1.1951467522547376e-12,2.152814514319827e-12,9.576677620650894e-13,9.576677620650894e-13
rxn01945,0.0,0.0,0.0,0.0
rxn01961,0.0,0.0,0.0,0.0
rxn01964,0.0,61.73397123132166,61.73397123132166,61.73397123132166
rxn01966,0.0,0.0,0.0,0.0
rxn01967,10000.0,10000.0,0.0,0.0
rxn01972,124.88718684669206,485.0353388793404,360.14815203264834,360.14815203264834
rxn01973,0.0,0.0,0.0,0.0
rxn01974,124.88718684669207,485.0353388793403,360.1481520326482,360.1481520326482
rxn01977,0.0,0.0,0.0,0.0
rxn01985,0.0,0.0,0.0,0.0
rxn01986,9999.999999999998,9999.999999999998,0.0,0.0
rxn01987,0.0,0.0,0.0,0.0
rxn01989,0.0,0.0,0.0,0.0
rxn01997,0.0,0.0,0.0,0.0
rxn02005,0.0,0.0,0.0,0.0
rxn02007,0.0,0.0,0.0,0.0
rxn02008,124.88718684669207,115.42558966975831,-9.461597176933765,9.461597176933765
rxn02011,124.88718684669207,115.42558966975831,-9.461597176933765,9.461597176933765
rxn02046,0.0,0.0,0.0,0.0
rxn02056,0.0,0.0,0.0,0.0
rxn02061,0.0,0.0,0.0,0.0
rxn02085,0.0,0.0,0.0,0.0
rxn02112,0.0,0.0,0.0,0.0
rxn02113,0.0,0.0,0.0,0.0
rxn02155,23.990243940427952,22.172715416687236,-1.817528523740716,1.817528523740716
rxn02159,0.0,92.84116685177365,92.84116685177365,92.84116685177365
rxn02160,0.0,92.84116685177364,92.84116685177364,92.84116685177364
rxn02161,10000.0,10000.0,0.0,0.0
rxn02166,0.0,0.0,0.0,0.0
rxn02167,57.167923529348904,52.836815770950096,-4.331107758398808,4.331107758398808
rxn02175,0.49275685855561524,0.45542503117526745,-0.03733182738034779,0.03733182738034779
rxn02177,0.0,0.0,0.0,0.0
rxn02185,0.0,-742.3690198070024,-742.3690198070024,742.3690198070024
rxn02186,0.0,742.3690198070024,742.3690198070024,742.3690198070024
rxn02196,0.0,0.0,0.0,0.0
rxn02200,0.0,0.0,0.0,0.0
rxn02201,0.0,0.0,0.0,0.0
rxn02212,0.0,0.0,0.0,0.0
rxn02213,0.0,0.0,0.0,0.0
rxn02222,0.0,0.0,0.0,0.0
rxn02264,0.0,0.0,0.0,0.0
rxn02268,4932.922305529688,4938.004188953086,5.081883423397812,5.081883423397812
rxn02270,-10000.0,-10000.0,0.0,0.0
rxn02275,0.0,0.0,0.0,0.0
rxn02277,0.0,0.0,0.0,0.0
rxn02285,124.88718684669205,115.4255896697583,-9.46159717693375,9.46159717693375
rxn02286,124.88718684669206,115.42558966975831,-9.46159717693375,9.46159717693375
rxn02287,0.0,0.0,0.0,0.0
rxn02288,0.0,0.0,0.0,0.0
rxn02296,0.0,0.0,0.0,0.0
rxn02297,0.0,0.0,0.0,0.0
rxn02304,0.0,0.0,0.0,0.0
rxn02305,0.0,0.0,0.0,0.0
rxn02312,0.0,0.0,0.0,0.0
rxn02314,-10000.00000000008,-10000.000000000002,7.821654435247183e-11,7.821654435247183e-11
rxn02320,0.0,-92.84116685177366,-92.84116685177366,92.84116685177366
rxn02339,0.0,0.0,0.0,0.0
rxn02341,0.49275685855561524,0.45542503117526745,-0.03733182738034779,0.03733182738034779
rxn02342,0.0,-1049.057143424084,-1049.057143424084,1049.057143424084
rxn02363,0.0,0.0,0.0,0.0
rxn02373,0.0,0.0,0.0,0.0
